experiment,dataset,method,MSETest_mean,MSETest_std,RMSETest_mean,RMSETest_std,EnergyScoreTest_mean,EnergyScoreTest_std,CRPSTest_mean,CRPSTest_std,Gaussian NLLTest_mean,Gaussian NLLTest_std,C95Test_mean,C95Test_std,C90Test_mean,C90Test_std,C75Test_mean,C75Test_std,C50Test_mean,C50Test_std,MSEValidation_mean,MSEValidation_std,RMSEValidation_mean,RMSEValidation_std,EnergyScoreValidation_mean,EnergyScoreValidation_std,CRPSValidation_mean,CRPSValidation_std,Gaussian NLLValidation_mean,Gaussian NLLValidation_std,C95Validation_mean,C95Validation_std,C90Validation_mean,C90Validation_std,C75Validation_mean,C75Validation_std,C50Validation_mean,C50Validation_std,NumberParameters_mean,NumberParameters_std,n_runs
UCI,protein-tertiary-structure,deterministic,14.16756974,0.2691329263713438,3.7638468000000005,0.03582971909051195,1.7283157599999999,0.024699644068245204,1.71348728,0.024859005910574963,3.2108608199999997,0.36475770464742335,0.85851738,0.008873191139719705,0.7886289200000001,0.011181940990588377,0.62702822,0.014078305907743324,0.39965014,0.0157404873969328,,,,,,,,,,,,,,,,,,,419073.0,0.0,5
UCI,protein-tertiary-structure,mixednormal,13.81134032,0.33886372262926373,3.7161375800000003,0.04557728499534592,1.66694268,0.02921629845919908,1.6538511599999999,0.02907155381112278,3.7988368,0.4543128806322689,0.8904001600000001,0.007096681657859532,0.8378307599999999,0.010530078781661614,0.6962607000000001,0.011393160931672993,0.46372182000000006,0.011918871498887802,,,,,,,,,,,,,,,,,,,519691.0,0.0,5
UCI,protein-tertiary-structure,normal,13.78544426,0.3534401373375531,3.7126320999999995,0.047527974575874536,1.67431506,0.028774672798191837,1.66016232,0.028748901489917777,3.18793076,0.34419574271240333,0.9063197000000001,0.002467275171114886,0.85261316,0.004707835428623207,0.70741306,0.008203928619448134,0.46862016000000006,0.005523423040379959,,,,,,,,,,,,,,,,,,,419331.0,0.0,5
UCI,protein-tertiary-structure,sample,14.17431508,0.2755841350421903,3.76473638,0.03665722502825316,1.70869866,0.023427498388389686,1.6937197999999998,0.02349762378156565,2.91335,0.1317226503527393,0.90548874,0.01359607251242063,0.8497266400000001,0.020987856826936845,0.69910344,0.029007618100388745,0.46577738,0.02393616075798288,,,,,,,,,,,,,,,,,,,419201.0,0.0,5
UCI,wine-quality-red,deterministic,0.44257634,0.08912123940037735,0.662034725,0.06717102290595627,0.3322635,0.05200320953265137,0.33123215,0.05203861728666409,3903.1716110249995,5036.57271900232,0.5315624999999999,0.11534193658650922,0.4515625,0.11355273163531604,0.29625,0.08741537260929026,0.18375,0.05783227791139696,,,,,,,,,,,,,,,,,,,419329.0,0.0,20
UCI,wine-quality-red,mixednormal,0.46308563999999997,0.08514661356001373,0.67778458,0.06235463444388162,0.35406139,0.050134069762009154,0.35336639000000003,0.050131357854780935,865.1192293150001,880.8610720053778,0.7040625,0.08182426109625048,0.6596875,0.08772234438241698,0.5571875000000001,0.11134780960552107,0.365625,0.10431677780481406,,,,,,,,,,,,,,,,,,,519947.0,0.0,20
UCI,wine-quality-red,normal,0.431107075,0.08287063615060636,0.65372915,0.06278846838392757,0.33037794,0.05183204915138895,0.329429725,0.0518367786284164,173.792109315,211.49995524871704,0.7609375,0.052404165350214596,0.713125,0.07151727340116398,0.6059375,0.08297696553387889,0.414375,0.09332359167519164,,,,,,,,,,,,,,,,,,,419587.0,0.0,20
UCI,wine-quality-red,sample,0.43980039499999996,0.08363959270182914,0.660278145,0.06352075576271757,0.332771135,0.051055332202819804,0.33136388499999997,0.05103072614145814,116.002293395,138.54703722317228,0.7893749999999999,0.04498263553861645,0.7265625,0.05048592006688594,0.5743750000000001,0.07189001559399795,0.3759375,0.08622842502849473,,,,,,,,,,,,,,,,,,,419457.0,0.0,20
UCI,yacht,deterministic,1.238976025,1.7646817519636564,0.9396850000000001,0.6121300974224566,0.40915877500000003,0.19910669517153193,0.40873360999999997,0.19910813804329097,55.745405895,65.64515582927963,0.34032256,0.11723441023618314,0.279032245,0.0983321140391366,0.19677419000000002,0.05528134308281497,0.12096773499999999,0.06691220175203885,,,,,,,,,,,,,,,,,,,418689.0,0.0,20
UCI,yacht,mixednormal,1.26551785,1.8043930718233059,0.945361615,0.6256022369809323,0.359920895,0.19484070338193404,0.358783225,0.19476265926044414,6.3421872,13.647372159093267,0.77903224,0.08584268965571112,0.73870966,0.07824964649591176,0.6096773950000001,0.10087518378878177,0.41451611499999996,0.10532406714983236,,,,,,,,,,,,,,,,,,,519307.0,0.0,20
UCI,yacht,normal,1.1316702749999998,1.7009202027581154,0.90620473,0.5716672551012062,0.34860304000000003,0.18155346662974894,0.347456785,0.1814676814997596,3.39272572,7.324105016299371,0.77903224,0.08520231100338951,0.73387095,0.09470047173679814,0.59354836,0.11483909688800238,0.37258063999999996,0.11246580706558819,,,,,,,,,,,,,,,,,,,418947.0,0.0,20
UCI,yacht,sample,1.355699785,1.8968465966407093,0.9922453649999999,0.6250464391294452,0.371245315,0.2021028129288558,0.37003399,0.20191165143424514,2.58019189,4.9320760700752455,0.79193547,0.0950468468003963,0.729032225,0.09147936338425344,0.59032257,0.09366831653285468,0.372580635,0.09562132409377971,,,,,,,,,,,,,,,,,,,418817.0,0.0,20
UCI_iDDPM,concrete,UCI_iDDPM,16319483.87590742,65277842.166424915,1014.43264566875,4038.535745647588,3.54116853125,4.015474825632716,2.52760018125,0.31600098567328183,7.02353374375,2.5630298124096864,0.61468448125,0.06779627695501891,0.5358009875,0.07438176161338544,0.395631075,0.05948006101705568,0.2451456375,0.03891576559880541,,,,,,,,,,,,,,,,,,,419203.0,0.0,16
UCI_iDDPM,energy,UCI_iDDPM,0.2069535875,0.05225488796520372,0.4514384275,0.05690245497980931,0.28482903,0.03232084514252017,0.28432932,0.03235124624922588,12.6589488625,9.478418024320433,0.39480521,0.11412364398605038,0.3074675275,0.09777982238621885,0.1896103875,0.07081594464105682,0.10000001,0.05213087119857543,,,,,,,,,,,,,,,,,,,419971.0,0.0,40
